Date,Open,High,Low,Close,Adj Close,Volume
2014-09-16,191.250000,193.570007,190.820007,192.960007,173.820602,2561500
2014-09-17,193.220001,193.639999,192.300003,192.800003,173.676468,3210800
2014-09-18,192.789993,194.130005,192.710007,193.750000,174.532242,2963300
2014-09-19,194.539993,195.000000,193.190002,194.000000,174.757462,8852000
2014-09-22,193.720001,194.139999,192.630005,193.110001,173.955719,3318000
2014-09-23,192.750000,193.070007,191.520004,191.619995,172.613495,3301800
2014-09-24,191.000000,192.449997,189.880005,192.309998,173.235077,3082600
2014-09-25,192.050003,192.500000,188.970001,189.009995,170.262405,4151400
2014-09-26,188.929993,190.330002,188.610001,190.059998,171.208237,2493900
2014-09-29,188.509995,189.960007,188.119995,189.639999,170.829895,2336300
2014-09-30,189.639999,190.850006,189.149994,189.830002,171.001038,2932600
2014-10-01,189.910004,190.399994,186.789993,187.169998,168.604858,3723200
2014-10-02,187.660004,187.779999,186.240005,186.910004,168.370712,2283100
2014-10-03,188.110001,189.369995,187.559998,188.669998,169.956100,3071500
2014-10-06,189.690002,190.889999,188.710007,189.039993,170.289383,2099500
2014-10-07,187.770004,188.119995,185.539993,185.710007,167.289719,2991300
2014-10-08,185.970001,189.600006,185.610001,189.360001,170.577667,2984800
2014-10-09,189.119995,189.500000,186.089996,186.419998,167.929276,2625400
2014-10-10,185.860001,187.740005,185.100006,185.929993,167.487885,5090200
2014-10-13,185.490005,186.649994,183.419998,183.520004,165.316925,3596700
2014-10-14,184.889999,185.720001,183.589996,183.800003,165.569153,3924700
2014-10-15,182.460007,183.789993,178.750000,181.750000,163.722519,6895800
2014-10-16,179.800003,181.479996,178.690002,179.839996,162.001938,5578600
2014-10-17,181.240005,182.839996,180.220001,182.050003,163.992752,4350200
2014-10-20,166.850006,170.330002,166.690002,169.100006,152.327225,23416500
2014-10-21,166.399994,166.679993,161.679993,163.229996,147.039444,20949800
2014-10-22,162.410004,165.410004,161.100006,161.789993,145.742294,11084800
2014-10-23,162.119995,162.830002,161.539993,162.179993,146.093613,7599400
2014-10-24,162.080002,162.440002,161.449997,162.080002,146.003555,6652100
2014-10-27,162.000000,162.910004,161.809998,161.869995,145.814362,4989100
2014-10-28,162.000000,163.600006,161.800003,163.600006,147.372757,7895300
2014-10-29,164.330002,164.619995,162.759995,163.460007,147.246658,4739300
2014-10-30,163.500000,164.619995,163.020004,164.350006,148.048370,3896000
2014-10-31,165.479996,165.589996,163.619995,164.399994,148.093414,5818000
2014-11-03,164.250000,164.539993,163.380005,164.360001,148.057388,4688200
2014-11-04,164.339996,164.360001,162.240005,162.649994,146.517014,4246900
2014-11-05,163.130005,163.539993,161.559998,161.820007,145.769318,4104700
2014-11-06,161.279999,161.529999,160.050003,161.460007,146.440506,4067600
2014-11-07,161.419998,162.210007,160.850006,162.070007,146.993759,3494800
2014-11-10,161.899994,164.470001,161.610001,163.490005,148.281647,4958200
2014-11-11,163.699997,163.899994,162.600006,163.300003,148.109314,3534400
2014-11-12,162.279999,163.000000,161.759995,161.919998,146.857697,3378200
2014-11-13,162.000000,162.800003,161.800003,162.789993,147.646759,3239700
2014-11-14,162.100006,164.490005,161.690002,164.160004,148.889313,4978400
2014-11-17,164.160004,164.970001,163.720001,164.160004,148.889313,4798900
2014-11-18,164.729996,164.750000,161.889999,161.889999,146.830490,5410100
2014-11-19,162.050003,162.100006,160.960007,161.429993,146.413269,3802600
2014-11-20,160.949997,161.500000,159.800003,160.639999,145.696762,4183100
2014-11-21,161.830002,161.949997,160.750000,160.919998,145.950729,4076900
2014-11-24,161.539993,163.860001,161.059998,162.149994,147.066284,6619000
2014-11-25,162.649994,163.500000,161.559998,161.759995,146.712555,4062400
